id,PROV_ID,NAME_2,ActivityEarned,CustomerActivity,CustomerAvgTransaction,SpendingDiversity,NightTime,Weekend,NightTimeMoney,WeekendMoney,ActivityOutside,ActivityInside,MoneyOutside
2,2,Albacete,0.405363598,0.427725227,0.172168749,0.368777024,0.203726117,0.952468158,3.59E-01,4.33E-01,0.433038676,4.33E-01,0.43305457
13,13,Ciudad Real,0.404855355,0.356408382,0.476172832,0.041896858,0.190999134,0.835576242,3.44E-01,4.33E-01,0.433223777,4.33E-01,0.433239436
16,16,Cuenca,0.40280512,0.209817472,0.456086434,0.041896858,0.215830045,0.969064796,7.90E-01,4.32E-01,0.43286333,4.32E-01,4.33E-01
19,19,Guadalajara,0.404387053,0.92084751,0.435199651,0.368777024,0.220999728,0.969064796,4.39E-01,4.32E-01,0.433028934,4.32E-01,0.433044856
45,45,Toledo,0.407505947,0.700469877,0.304081426,0.641287258,0.358426854,0.573239826,3.42E-01,4.32E-01,0.43315558,4.32E-01,0.433171324
5,5,Avila,0.403469474,0.228224185,0.480786374,0.151014966,0.22423621,0.879880617,9.98E-01,0.432121199,0.432795143,0.432121199,4.33E-01
9,9,Burgos,0.404088818,0.227667653,0.602929381,0.151014966,0.265867066,0.534128647,4.15E-01,5.47E-01,0.540840115,5.47E-01,0.540707305
24,24,Leon,0.406241436,0.218198993,0.609006116,0.368777024,0.240564696,0.781858593,3.37E-01,4.34E-01,0.435046342,4.34E-01,0.435059473
34,34,Palencia,0.40452611,0.081599769,0.672363542,0.151014966,0.207496316,0.835576242,5.22E-01,4.33E-01,0.434100772,4.33E-01,0.43411521
37,37,Salamanca,0.40582042,0.117233678,0.804759456,0.641287258,0.374203365,0.455292821,3.72E-01,4.33E-01,0.434013058,4.33E-01,0.434027636
40,40,Segovia,0.404664998,0.159846881,0.837450707,0.368777024,0.337255542,0.952468158,8.66E-01,4.33E-01,0.433282233,4.33E-01,0.433297799
42,42,Soria,0.402737743,0.200156558,0.752737586,0.041896858,0.262511826,0.573239826,9.98E-01,4.32E-01,0.432960743,4.32E-01,4.33E-01
47,47,Valladolid,0.417049838,0.188463807,0.856490244,0.641287258,0.236525821,0.80988205,3.20E-01,4.39E-01,0.439877342,4.39E-01,0.439883756
49,49,Zamora,0.403427187,0.074750966,0.801489427,0.368777024,0.227605485,0.835576242,7.98E-01,4.33E-01,0.433165323,4.33E-01,0.433181074
8,8,Barcelona,0.543150695,0.950308816,0.825586443,0.992914304,0.762984929,0.573239826,3.14E-01,4.56E-01,0.451438322,4.56E-01,0.451428942
17,17,Girona,0.423266825,0.691549363,0.766107003,0.641287258,0.998326789,0.080907998,3.24E-01,4.33E-01,0.433847385,4.33E-01,0.433862179
25,25,Lleida,0.409580232,0.663963656,0.676383403,0.641287258,0.871890436,0.067071028,3.28E-01,4.33E-01,0.433886366,4.33E-01,0.433901121
43,43,Tarragona,0.425373061,0.927655137,0.377831107,0.855176789,0.579623991,0.15790985,3.22E-01,4.35E-01,0.434412671,4.35E-01,0.434426694
51,51,Ceuta,0.999970111,0.864160102,0.861621841,0.992914304,0.324044537,0.573239826,4.06E-01,4.32E-01,0.432912036,4.32E-01,4.33E-01
52,52,Melilla,0.999999994,0.362767156,0.997499268,0.855176789,0.234970982,0.80988205,9.89E-01,0.432086308,0.432687997,0.432086308,4.33E-01
28,28,Madrid,0.667552067,0.853799091,0.659104515,0.992914304,0.536445631,0.573239826,3.14E-01,5.15E-01,0.498086071,5.15E-01,0.498012626
31,31,Navarra,0.407789769,0.603469051,0.617709702,0.641287258,0.410397019,0.067071028,3.42E-01,4.48E-01,0.447997574,4.48E-01,0.44799289
3,3,Alicante,0.460182833,0.66855122,0.132711551,0.641287258,0.955186894,0.182968763,3.15E-01,4.36E-01,0.437036167,4.36E-01,0.437046654
12,12,Castellon,0.41735406,0.897392064,0.061132839,0.368777024,0.579143133,0.135217474,3.29E-01,4.33E-01,0.433769425,4.33E-01,0.433784332
46,46,Valencia,0.447473035,0.940670604,0.284848197,0.641287258,0.464254105,0.341186044,3.14E-01,4.39E-01,0.439105714,4.39E-01,0.439113229
6,6,Badajoz,0.405591947,0.21765653,0.225042195,0.151014966,0.498649969,0.096798121,3.29E-01,4.33E-01,0.43385713,4.33E-01,0.433871897
10,10,Caceres,0.403294641,0.292029713,0.40957491,0.151014966,0.401720365,0.096798121,4.88E-01,4.35E-01,0.434900095,4.35E-01,0.434913424
15,15,A Corua,0.423741088,0.617381654,0.357601449,0.641287258,0.362269736,0.416335942,3.18E-01,4.36E-01,0.436275161,4.36E-01,0.436286719
27,27,Lugo,0.404184186,0.155645655,0.527128925,0.151014966,0.255000277,0.915021583,5.62E-01,0.43210742,0.432814625,0.43210742,4.33E-01
32,32,Ourense,0.405369659,0.29066866,0.203500025,0.151014966,0.357803603,0.80988205,5.11E-01,4.33E-01,0.433681723,4.33E-01,0.433696734
36,36,Pontevedra,0.426556929,0.423448447,0.311784543,0.368777024,0.381009571,0.341186044,3.21E-01,4.34E-01,0.434510148,4.34E-01,0.434524039
7,7,Baleares,0.428852434,0.945054833,0.226687729,0.855176789,0.97349822,0.271865508,3.19E-01,4.34E-01,0.434714862,4.34E-01,0.434728463
35,35,Las Palmas,0.402136154,0.978357268,0.037442201,0.641287258,0.999046367,0.210371469,8.09E-01,4.32E-01,0.432717218,4.32E-01,4.33E-01
26,26,La Rioja,0.411269267,0.202906316,0.663726366,0.368777024,0.241306287,0.80988205,3.62E-01,4.61E-01,0.458035707,4.61E-01,0.458017031
1,1,Alava,0.412168265,0.513473116,0.957644061,0.641287258,0.275891192,0.98477365,4.34E-01,1.00E+00,1.00E+00,1.00E+00,1
20,20,Guipzcoa,0.440707032,0.36117383,0.989700603,0.641287258,0.674326008,0.080907998,3.33E-01,4.99E-01,0.496129623,4.99E-01,0.496059514
48,48,Vizcaya,0.492213043,0.637061113,0.973708999,0.855176789,0.317867536,0.378184591,3.17E-01,6.77E-01,0.680599681,6.77E-01,0.68029807
33,33,Asturias,0.41729394,0.159399376,0.67623208,0.368777024,0.276331711,0.494684764,3.18E-01,4.37E-01,0.436704418,4.37E-01,0.436715131
30,30,Murcia,0.412965945,0.603905922,0.167482895,0.368777024,0.448715501,0.240045306,3.23E-01,4.35E-01,0.435884992,4.35E-01,0.435896975
38,38,Santa Cruz de Tenerife,0.410572273,0.997744018,0.048851483,0.855176789,0.992657576,0.271865508,3.15E-01,4.35E-01,0.434724611,4.35E-01,0.434738184
