id,PROV_ID,NAME_2,GasSpending,TaxiSpending,PublicSpending,CafeSpending,FastSpending,FoodSpending,RecSpending,FashionSpending,MedicalSpending,CulturalSpending,TravelSpending
36,36,Pontevedra,0.57917,0.50332,0.39544,0.27183,0.21951,0.14025,0.33452,0.62492,0.44215,0.45565,0.89054
7,7,Baleares,0.32226,0.4831,0.39374,0.82661,0.90024,0.30932,0.57893,0.12028,0.59654,0.45839,0.63926
35,35,Las Palmas,0.1851,0.67486,0.43348,0.36738,0.67363,0.99947,0.61692,0.066214,0.51137,0.68657,0.73998
26,26,La Rioja,0.73668,0.32319,0.49982,0.3494,0.30197,0.065404,0.47131,0.60879,0.67303,0.45025,0.78772
1,1,Alava,0.12666,0.79432,0.81734,0.61676,0.47201,0.011521,0.44078,0.70382,0.99938,0.40752,0.93275
20,20,Guipzcoa,0.11247,0.37997,0.40681,0.81725,0.33591,0.1027,0.77349,0.76003,0.33492,0.34851,0.97354
48,48,Vizcaya,0.022648,0.53132,1,0.87029,0.34386,0.030807,0.68129,0.95697,0.53852,0.41656,0.99894
33,33,Asturias,0.50356,0.91316,0.39452,0.69244,0.31783,0.28804,0.32049,0.67746,0.04962,0.35015,0.51542
30,30,Murcia,0.5931,0.40557,0.40714,0.79004,0.32831,0.64838,0.41195,0.30651,0.70011,0.44615,0.1344
38,38,Santa Cruz de Tenerife,0.055406,0.55759,0.39499,0.74185,0.30719,0.8428,0.36816,0.10161,0.96739,0.59622,0.58582
