id,PROV_ID,NAME_2,ActivityDensity,EarningsDensity,AvgTransaction,ResidentActivity,ResidentAvgTransaction,ResidentOutsideActivity,ForeignActivity,EarningDiversity,SpendingDiversity
3,3,Alicante,0.69425,0.65903,0.22098,0.67777,0.22099,0.1502,0.90824,0.59957,0.68965
12,12,Castelln,0.42777,0.41509,0.073956,0.91568,0.073059,0.12761,0.43935,0.59957,0.44099
46,46,Valencia,0.84338,0.81467,0.34081,0.95427,0.36417,0.16102,0.35938,0.59957,0.68965
6,6,Badajoz,0.41005,0.40393,0.14448,0.19865,0.19684,0.19085,0.43881,0.18719,0.07563
10,10,Cceres,0.34921,0.35536,0.49296,0.25453,0.39582,0.59893,0.49502,0.072344,0.07563
15,15,A Corua,0.511,0.49964,0.30735,0.59967,0.36688,0.35537,0.36562,0.59957,0.68965
27,27,Lugo,0.33909,0.34806,0.83145,0.15629,0.85331,0.4672,0.26642,0.18719,0.07563
32,32,Ourense,0.34143,0.34543,0.1548,0.29957,0.17901,0.43296,0.41888,0.18719,0.07563
36,36,Pontevedra,0.45206,0.44567,0.28276,0.42775,0.30971,0.66143,0.3362,0.59957,0.44099
7,7,Baleares,0.49931,0.49924,0.54487,0.94245,0.25414,0.088339,0.96655,0.97518,0.87248
35,35,Las Palmas,0.3311,0.3347,0.017105,0.96659,0.090253,0.075525,0.99973,0.59957,0.68965
26,26,La Rioja,0.3657,0.37351,0.69758,0.21121,0.71322,0.6849,0.2432,0.37523,0.44099
1,1,lava,0.34746,0.35634,0.7979,0.57228,0.90486,0.99517,0.24134,0.59957,0.68965
20,20,Guipzcoa,0.39777,0.41763,0.98344,0.38656,0.97848,0.65605,0.78972,0.59957,0.44099
48,48,Vizcaya,0.54434,0.5685,0.92281,0.71552,0.94069,0.43379,0.3052,0.91815,0.87248
33,33,Asturias,0.49984,0.50317,0.6257,0.15078,0.63387,0.28317,0.28321,0.59957,0.44099
30,30,Murcia,0.4498,0.44123,0.21942,0.6169,0.12247,0.23632,0.38027,0.59957,0.44099
38,38,Santa Cruz de Tenerife,0.6426,0.58327,0.036171,0.99542,0.050788,0.16238,0.91516,0.7946,0.87248
